epoch,time_sec,loss_total,loss_classifier,loss_box_reg,loss_mask,loss_objectness,loss_rpn_box_reg
1,901.63,0.13629839966614657,0.019707383341150957,0.04056516271094529,0.07337716818734252,0.0017750194107272568,0.0008736659306947041
2,761.32,0.09715334166715767,0.011613647065685398,0.023857080234895436,0.06081966679275739,0.0004458420444231169,0.00041710553888996637
3,761.28,0.09308810331254783,0.01063344661944465,0.0226070910796028,0.059098096762056136,0.00041116190479222286,0.00033830689708699147
4,815.61,0.08927407151233856,0.00963521075512593,0.020410640979243597,0.05862785140321952,0.00030836785460216284,0.00029200059162164165
5,822.35,0.08723119043396728,0.0092887717470355,0.019071504608693054,0.05829900379381507,0.00029795294164935174,0.00027395747482162686
6,817.95,0.08535503885546042,0.008892868120684454,0.018033032490206047,0.05785410921513587,0.0003202697224852328,0.0002547593391033091
7,826.24,0.08454519391283473,0.008593860487598378,0.017480224376696083,0.05791978481338466,0.00030500211688637294,0.00024632203183214086
8,530.77,0.0835213193516192,0.008546179666127491,0.017140457795439778,0.05732124302803767,0.0002742456829307521,0.00023919336026109766
9,522.74,0.08335435223173737,0.008514786996773374,0.01676676975037116,0.05756798761099226,0.0002679480440695619,0.00023685990031856497
10,519.54,0.08283440642146692,0.008374329872286129,0.016455970577783842,0.05749391161887592,0.0002808826474902669,0.00022931155856896178
