epoch,time_sec,train_loss,train_fg_dice,train_center_mse,val_loss,val_fg_dice,val_center_mse
1,185.07,0.4988881918684681,0.13001541727460403,0.06261832200193612,0.18164256244897842,0.1000000002164082,0.009354743808507919
2,173.3,0.09196266661960595,0.33976015146096256,0.0052412269622004485,0.16401417672634125,0.20967325188219546,0.004149946449324489
3,148.1,0.046974865844159726,0.6614018815873873,0.002497680412344911,0.06928518205881119,0.6759229111671448,0.0025264594703912737
4,148.5,0.03332417962224324,0.7217821389584258,0.0016875001103363672,0.05692286856472492,0.7366725468635559,0.0017397248512133956
5,135.1,0.02613505954614444,0.7548804055198585,0.0012650879595306527,0.07471614710986614,0.648143140077591,0.0018523471150547267
6,134.33,0.0224955816093906,0.7725595322870972,0.0010513174784136936,0.0534820418804884,0.7596762084960937,0.001325535720679909
7,144.45,0.018978553489864904,0.7985308025733079,0.0008874744763839897,0.04619459379464388,0.799665892124176,0.0011047488404437899
8,171.48,0.01709318172767537,0.8045380071248158,0.0007957257351308997,0.04669436998665333,0.7917967653274536,0.001132448932621628
9,169.85,0.015927042731425107,0.8129395728949274,0.00074808478414768,0.043062805682420734,0.8265599727630615,0.0009186314791440964
10,177.8,0.014957862658343176,0.8272207593268687,0.0007034682767151043,0.043800677116960285,0.8229484629631042,0.0009210461855400354
11,179.58,0.014149831422364874,0.8341614429903502,0.0006736694068053165,0.047753835432231426,0.7918408751487732,0.0009063438943121582
12,164.88,0.014665199862101512,0.8293512488650804,0.0006740447658945179,0.04480852868407965,0.815234899520874,0.0008591737423557788
13,173.83,0.012706450063338743,0.8425428173919716,0.00060954838545963,0.04707057997584343,0.8081073689460755,0.0009201784874312579
14,179.41,0.012040808360037016,0.85114453039547,0.0005831423785109857,0.043106564953923225,0.8373230528831482,0.0007685522909741849
15,179.16,0.011673016824049524,0.8516606830871931,0.0005681142932072623,0.04117468047887087,0.8329449224472046,0.0007923053880222142
16,179.64,0.011421259311673296,0.8539873752558585,0.0005533782716138555,0.041016533020883796,0.8383160376548767,0.0007529027480632067
17,173.34,0.0111372435873485,0.8568897951062363,0.0005432399409641004,0.044591539707034826,0.8439314222335815,0.0008053145441226661
18,181.74,0.010625787017092403,0.8662237663670341,0.0005272668089728001,0.042582083232700824,0.8415941667556762,0.0007163331273477524
19,181.9,0.010500310055132364,0.863294751853636,0.0005174099047814374,0.055618002563714984,0.8161038136482239,0.0009130467753857374
20,182.58,0.010240652314894417,0.8630413787052182,0.0005123785179394233,0.04485821928828955,0.8554120039939881,0.000723983149509877
