epoch,time_sec,train_loss,train_dice,val_loss,val_dice
1,161.69,0.13782854216424875,0.30464592727320133,0.09144505770991043,0.4410849629464198
2,146.86,0.03572850835612309,0.6417511129172466,0.059001407852130275,0.6648966067907761
3,147.41,0.024393423036885676,0.7206190104378201,0.05062962714012484,0.7412854554701824
4,151.95,0.01941916682957089,0.7641267161054682,0.04591278092251444,0.7726338955820823
5,134.21,0.01694651204709522,0.7886688654602977,0.04255123726301351,0.7877024971708959
6,154.28,0.014860899690792536,0.8008137346791216,0.050546588205105186,0.7922015895648878
7,154.41,0.013601423897278465,0.8151584378405574,0.03693484654650092,0.8027670499013395
8,155.75,0.012648421245923698,0.8230715012535582,0.04399605375733607,0.8237553421331911
9,155.85,0.011688874549171259,0.8336224458105355,0.04223339161740578,0.8134985760766633
10,156.51,0.011011100244619498,0.8361708793276748,0.04856582878309549,0.8208239589418683
11,139.01,0.010294662844770515,0.8454671577450068,0.043716980467493435,0.8521280398174208
12,144.54,0.009702581428441472,0.8530207216518076,0.041248406397596915,0.8434500803752821
13,158.86,0.009496902422044689,0.8548351960554442,0.03997725805229679,0.8246492591439462
14,158.39,0.009128510928337717,0.8568135200084511,0.04396592867465652,0.8305702878504383
15,102.66,0.00868252115979066,0.8633593084126748,0.04171440349796749,0.8315163850784302
16,103.57,0.008471262929187868,0.863654977917819,0.03795240333835993,0.8396574167572722
17,104.35,0.008077433541107836,0.8704436378555818,0.039932338901016176,0.8512235113552639
18,104.83,0.007956753986341766,0.8729607971775192,0.04639565619659059,0.8234041223720628
19,105.13,0.007962325005647825,0.8704852106919815,0.03939793132036468,0.8480346409641967
20,103.73,0.007475870976638848,0.8798514125958694,0.047915964610684585,0.8274511001547988
